area,bedrooms,bathrooms,age,floor,total_floors,year_built,price
1360,1,3,27,1,27,1965,789452
4272,1,2,14,13,27,1998,203124
3592,3,2,29,8,2,1939,515065
966,5,2,36,2,9,2019,254923
4926,4,1,28,7,16,1927,58036
3944,1,2,21,15,13,1946,606066
3671,4,2,3,1,9,1938,995238
3419,1,2,19,5,20,1969,204245
630,1,3,31,11,4,1972,735763
2185,1,3,35,4,22,1919,252747
1269,5,1,49,1,10,2023,973848
2891,2,1,3,15,26,1900,593088
2933,4,3,26,4,26,1971,337516
1684,5,3,16,14,22,2018,373660
3885,5,3,11,11,12,1986,856970
4617,5,2,21,3,17,1962,900350
3404,5,2,16,14,14,1966,982477
974,5,3,9,10,14,1903,383299
1582,3,2,0,15,25,1957,805600
3058,4,2,21,5,2,1924,109500
2547,5,1,25,13,21,1946,217647
3247,4,3,17,17,25,1937,286527
1475,3,3,49,11,20,1914,485477
2306,3,2,13,10,11,1962,684947
689,4,3,46,12,16,1920,602004
3234,1,1,28,10,19,1998,446452
3505,2,1,11,15,23,1956,459064
2399,1,1,35,14,6,2016,52352
1767,1,3,34,14,24,1952,183004
2028,1,3,11,3,19,1945,912881
3702,5,3,6,10,5,2015,582844
4056,3,3,28,18,26,1913,836261
4390,1,3,10,14,4,1999,398980
1146,3,1,32,3,15,1975,710858
3388,4,2,5,12,29,1916,781478
2935,2,1,46,18,4,1938,100098
1100,4,3,14,1,20,1908,424313
2863,4,1,31,13,10,1998,714929
2561,5,3,10,3,24,2023,297199
741,2,3,22,15,22,1976,176060
2541,4,1,25,19,3,1978,237954
3324,4,3,33,13,26,1981,775753
3112,2,2,45,14,5,2014,180544
1863,2,3,33,2,6,1996,574628
1978,4,2,28,7,21,1905,749309
3056,2,2,3,15,22,2022,656590
1275,4,3,16,9,8,1990,797028
4514,4,1,34,3,7,1922,517243
534,5,2,12,17,21,1958,574426
3652,1,1,40,1,10,1990,443574
2455,4,2,38,16,6,1997,693907
2085,3,3,14,12,14,2019,518466
4443,1,3,28,3,4,1945,921808
3573,1,2,28,10,28,1937,674219
1521,1,3,10,6,25,1913,998158
3961,5,2,31,11,13,1999,206951
3113,4,3,1,9,20,2016,917964
4343,5,1,46,6,17,1971,892210
2000,4,3,13,12,23,1961,612060
661,5,1,19,6,7,1934,108478
4797,5,3,21,16,4,1918,507569
2481,3,1,10,9,29,1929,601050
1495,5,3,26,9,14,1977,194355
3842,2,1,2,3,3,2022,769282
4298,3,2,16,19,24,1983,744780
1775,5,2,43,3,5,2012,892000
1516,1,1,27,6,16,1924,921522
837,2,3,28,0,26,1939,856651
1378,2,1,20,11,23,1987,893601
1576,2,3,46,12,20,1913,543671
4493,3,2,15,9,4,1925,649253
879,5,3,36,14,24,2001,227912
992,5,2,19,12,24,1986,225767
2562,1,3,5,8,2,1921,286281
4384,1,3,18,8,18,1947,134754
564,2,3,4,14,19,2020,652276
3068,1,1,2,9,28,1982,501558
2527,3,1,0,9,28,2009,557732
