Area (sq ft),Bedrooms,Bathrooms,Location,Age of Property,Price ($)
4964,4,3,Anthonyview,29,130056
3827,4,2,Port Anthony,72,239872
2569,4,2,Jessemouth,24,332406
2253,2,4,Maxwellland,15,761446
1460,4,4,East Marciaborough,35,912990
1529,5,1,North Josebury,40,931431
1219,5,1,West Scott,82,390268
2405,2,3,Callahanport,84,87152
1664,3,1,Warefurt,87,494726
699,3,1,Lake Abigail,52,899079
1395,5,1,Warrenfort,61,770437
898,3,3,Port Linda,27,584861
2644,5,4,West Teresaland,47,844197
1633,1,3,South Kelly,82,510378
4252,3,2,Carolview,14,587104
3224,3,1,West Charles,67,99004
3992,5,3,Smithport,47,364131
4917,2,1,New Brianmouth,100,200408
863,4,1,West Sheri,94,329743
946,5,1,Port Alexandra,87,981936
3112,2,2,Gonzaleztown,40,494455
4516,3,2,New Pamelahaven,25,175278
569,2,2,Moralesburgh,79,623829
4653,1,2,Lake Leah,22,896270
2307,5,4,Mistyland,29,92585
527,1,4,West Danielton,89,375302
4707,5,2,South Brentborough,35,810719
3570,1,1,New Joseshire,79,656482
1556,5,4,Larrytown,23,464308
3160,5,2,Jeffreyside,60,326485
3577,4,4,East Williamtown,62,411935
1518,4,3,Adamsmouth,83,907743
1132,4,1,North Mark,44,986290
2910,5,2,North Daniel,64,561723
1974,2,1,Port Emma,64,946983
4264,5,3,Joneston,52,963033
1156,1,3,Millschester,12,723124
2517,3,2,Weaverside,22,210775
2609,2,2,Jeanettefort,65,991605
1913,2,2,Jamesville,7,746156
934,1,2,Lake Rachelstad,24,117783
2820,2,4,New Dustin,5,630556
1902,2,2,Maloneburgh,52,139190
643,4,4,West Stephanietown,50,186216
2153,4,1,West Kathy,67,731190
4565,4,4,Brownland,48,635829
4645,4,1,Ritterton,77,545389
1149,1,3,Port Randy,35,733320
1678,2,4,Bentonland,69,708340
2904,4,4,New Michaelton,80,954085
3414,2,2,East Stacey,55,602283
3629,1,1,Harrisonland,14,845256
3332,2,1,East Timothymouth,31,257893
4260,2,2,North Jamesmouth,2,283745
641,1,3,South Robert,10,984810
1980,3,4,Vincentstad,55,492354
3482,2,3,Foxland,78,587670
781,4,4,New Yolanda,61,548828
3768,2,1,Craigfurt,26,533108
2695,4,3,Melissamouth,1,308948
4293,3,1,Foxport,93,983607
2225,1,1,East Robertmouth,3,352750
2855,4,3,Lindashire,91,664832
4895,4,2,Katieside,5,623455
4175,1,3,North Zachary,80,464514
2278,2,4,Dawnberg,42,173869
646,2,2,Port Christopher,50,259801
1438,3,4,Harrellchester,48,395959
4671,2,3,Teresaborough,47,220079
4680,5,1,Coreyview,9,618470
3280,2,3,Vincentton,59,146064
1607,3,3,Brianland,73,129480
644,1,4,Garciashire,24,598759
587,2,2,Rogersland,89,981879
2256,4,1,Lake Justin,92,155307
4768,2,2,South Daniel,35,221278
608,3,1,Bushfort,96,436973
855,2,4,New Donnahaven,62,165472
4426,4,3,Kimberlychester,99,732558
911,4,4,Julianmouth,60,288566
2118,3,1,Karinachester,5,995908
3703,4,3,Lake Stephanieberg,33,619084
4549,1,1,Port Lorimouth,95,164176
3596,4,3,South Edward,33,799647
853,2,4,Fitzpatrickfurt,62,925789
1268,1,4,South Angelica,46,226725
4814,5,2,Lake Ashleyside,9,744408
3448,4,4,West Valerie,6,901643
4685,4,2,Williamsburgh,28,657333
2822,3,3,Lake Katherine,51,873731
4976,3,1,Hessberg,9,647476
3612,1,3,East Tanya,13,348560
2822,2,3,Carlsonfurt,57,192684
1820,4,4,Kevinburgh,98,733805
879,2,4,Erinland,64,103717
4779,3,2,Lake Brittanyburgh,33,360516
777,3,1,South Garyland,73,935604
2050,2,4,Lake Ashley,98,308232
811,5,3,North Jamesfort,96,492220
3951,4,4,Christianville,65,299925
1470,1,3,Lake Jason,44,373901
2803,3,2,Batesshire,46,860979
2324,3,3,South Christopher,82,437537
1484,1,4,Barnesbury,56,181095
3266,1,3,West Susan,56,420954
3607,5,1,Gregoryville,6,615041
1857,5,4,North Casey,20,146061
1481,4,1,Brandonfurt,76,514695
3703,3,3,Devinburgh,15,227953
4821,4,3,East Robert,96,534026
1078,4,2,East Paul,49,652562
4854,1,4,Lindaville,12,646466
1917,4,4,West Shelby,75,137125
993,5,3,Jessicachester,71,973202
4968,1,1,New Jared,11,435888
4976,5,1,Port Carolinemouth,42,54493
4381,1,3,New Brittany,58,800737
3555,4,1,New Tammyville,16,104167
888,2,2,West Jeffrey,44,71161
1441,2,2,Foxland,23,880334
547,3,2,Lake Donald,23,522209
4188,4,1,Churchport,53,598737
1427,4,1,West Wesleyborough,96,58438
3411,3,2,Markberg,24,494963
4452,2,2,New Tim,87,357252
2946,1,2,East Heather,87,826188
4899,3,3,Garyshire,81,724158
1313,3,1,Lake Garytown,70,151831
1809,4,2,Lake Sandrachester,98,592441
4223,3,2,New Joel,12,650976
4358,1,4,North Michaelchester,16,907742
519,1,4,North Michael,36,949737
3809,3,4,New Spencermouth,59,468693
3206,3,1,East Bryan,88,379419
2746,3,2,North Larry,21,640757
4088,3,4,Port Christopher,71,201991
1132,3,3,New Nicoleland,44,280862
2210,2,3,Port Aliciaville,14,969963
4606,2,3,Brianton,72,662534
3283,3,3,Morganview,97,646641
4786,3,1,Andrademouth,18,631578
4675,3,2,Annamouth,45,968578
2726,1,4,East Rachel,33,932964
544,4,1,Port Kathy,86,418829
745,2,2,New Robert,31,790896
3654,1,2,West Keith,65,733374
1179,3,3,North Wendyview,55,857346
3656,2,3,Andrewshire,39,627726
1889,4,1,Port James,2,145730
897,5,3,Christopherfurt,49,557773
1116,4,3,Vanessaberg,13,132037
1399,3,2,West Justin,60,904219
2073,3,4,North Alexandraville,72,387659
3370,5,1,Williamstown,30,439808
1696,3,2,Changview,21,210957
3580,3,3,West Stephen,78,873766
750,2,2,West Haileybury,64,276607
1158,4,2,Adamsfurt,46,713618
922,5,2,South Timothy,99,918713
1439,1,2,Careyville,47,114281
3995,4,3,Harrellville,99,471202
3433,2,4,North Calvin,19,338855
1239,4,2,Buchananville,14,268938
4362,5,2,Kevinstad,77,375713
1509,2,3,Lake Maryfurt,18,378845
2287,5,2,East Leonard,77,894358
2027,2,2,Port Danielport,38,384537
4175,5,3,Deleonberg,78,946460
2839,5,1,East Lisa,49,191799
2798,5,2,East Rachaelmouth,30,955958
2809,1,4,Andersonberg,54,925244
4744,5,2,South Douglasburgh,92,953846
1772,3,3,East Juan,84,62660
2408,1,2,Anthonyberg,88,599771
4349,1,4,Hollymouth,4,158560
1566,5,3,Wrightshire,41,116486
4210,4,1,West Rayland,55,658168
1215,3,4,Rachelville,34,86468
4819,1,4,Lake Sophialand,73,148369
1787,4,2,South Seth,12,811675
1095,4,1,Jillfurt,32,979026
1393,1,1,North William,40,989096
2180,5,4,Colinland,45,443361
4992,4,4,Lake Stephenmouth,87,971963
1251,2,4,Juliefurt,59,939725
4747,4,3,South Kimberlyport,12,918428
954,4,2,Santiagobury,88,131969
1056,3,3,South Benjaminview,5,676219
1322,1,4,Parkertown,64,741372
625,2,1,Chaneybury,61,596956
4187,5,2,Port Kelsey,91,251812
672,5,3,Adamfort,86,336252
4453,4,3,New Donna,12,684862
3066,4,3,Sharonport,34,832215
2265,2,4,New Haileyland,9,355511
4262,4,4,Meganburgh,79,548136
1790,2,2,Andrewtown,19,466248
1718,3,1,New Shawnmouth,69,764375
3694,1,4,Lake John,84,773467
727,2,1,Jordanport,65,393543
2059,5,3,New Dianemouth,21,443119
2352,2,4,Amandaburgh,73,972341
3385,5,1,Gonzalezfurt,74,783740
3879,1,2,Lake Jessica,87,179203
1392,1,3,Christophershire,95,105438
3261,2,2,Christinetown,100,111813
1203,3,1,Curtisshire,11,629953
3960,5,4,Wallaceport,86,139951
1011,2,2,Spencermouth,41,831313
2273,3,2,Port Lisamouth,91,707151
2347,2,1,North Blake,41,432108
2367,1,3,Smithville,53,581541
3253,4,2,New Lauriehaven,51,426032
4243,5,2,Andersonland,98,694571
2484,5,3,North Gary,6,55749
4991,5,4,West Reginald,1,314769
539,5,1,North Jacqueline,40,426443
3497,2,2,Jacquelinechester,75,95814
915,2,1,North Hannah,59,288937
3401,4,3,Port Thomas,93,976113
4618,1,4,Chasebury,64,179600
957,3,2,Robertsberg,68,909519
4283,5,2,North Linda,13,381438
3955,2,3,Lake Dawn,63,357505
1370,4,3,Port Margaret,90,393070
1869,1,4,Hannahfort,93,70341
3879,3,4,Williamsside,31,156188
4076,1,4,Jacquelinefort,16,823476
1704,2,2,Charlesville,96,663036
1192,3,4,Codyland,45,802311
4907,5,1,Lake Andrew,48,133153
4155,4,1,Smithville,54,196238
4671,5,1,Kathrynfort,11,838278
2906,3,3,Alyssatown,84,737715
4000,5,2,West Brittany,21,644666
2287,3,1,North Stephen,23,325501
1790,3,4,Port Christinestad,69,351793
4479,2,2,New Blakestad,65,356313
3813,1,2,West Ellenport,34,359410
2349,1,3,Julieburgh,7,528378
2870,5,4,Port Ricardo,2,664393
1885,2,3,Jeromeshire,74,605500
4277,3,4,North Nicholasbury,83,77094
3561,4,1,West Eric,21,871965
1222,4,1,New Ian,61,610796
554,5,2,Ronaldland,32,612480
802,5,3,North Scotthaven,31,735548
2929,5,1,Wattstown,75,357811
848,2,4,Michaelton,37,979770
3540,2,2,South Yvonneland,35,899252
4880,3,4,East Patriciaborough,43,717338
3761,4,2,East Kathystad,52,432662
2777,5,2,Kellyview,69,748050
2692,5,4,New Brenda,21,706967
3372,1,4,Brianahaven,43,288108
4469,5,2,Lake Jeremiah,67,68560
1058,1,2,Patriciamouth,92,706780
2180,5,2,Montgomeryland,93,563082
4374,4,3,Port Leah,25,74521
4120,1,2,West Amberton,62,254647
4274,4,2,Colestad,98,400452
3163,5,1,West Jessica,64,178181
4131,2,1,Port Davidville,96,730707
2005,3,2,Wilsonchester,74,895553
4771,5,3,Webbfort,36,576907
1153,4,1,Silvastad,28,698550
1273,3,3,New Antonio,63,111648
1091,1,4,Craigborough,0,360093
4731,2,4,East Elizabeth,35,603928
4629,2,4,Derekfort,75,798958
4410,1,1,Mcneiltown,84,312050
1393,1,1,West Karenview,46,831932
4863,4,3,Mccarthyfort,84,299111
4745,1,3,Erikatown,15,994486
3033,1,4,Joneston,41,182186
3091,5,3,Randallland,82,834790
3878,4,3,West Justinburgh,50,656018
661,1,3,West Brian,9,108145
3821,3,3,Richardsonside,79,574900
2240,3,1,Port Kelsey,98,547718
1444,5,3,Rogerschester,64,861425
1968,4,4,South Davidmouth,51,549514
2092,4,1,South Williammouth,30,122113
2319,1,2,Lake Amyton,66,526513
4954,4,1,Port Miranda,30,647422
2516,4,4,Catherineland,70,337563
3789,4,3,Port Sarah,76,920918
4975,3,2,North Steven,25,680123
1635,5,3,Juliaview,73,361790
941,2,3,South Joeburgh,47,459740
983,3,4,New Jacquelineberg,80,187696
3634,4,2,Lake Jesus,87,149967
1013,3,2,East Natalie,92,357607
978,2,1,Thompsonview,95,330378
2503,2,2,Lake Scott,44,266333
1817,2,4,New Maryton,100,746892
2980,5,3,North Kennethchester,46,678903
3408,5,2,West Kevin,62,926807
2130,4,1,East Amyfort,96,983726
3208,2,3,East James,87,936261
2417,1,1,Lake Leahton,3,115137
778,5,4,Port Carolmouth,29,237502
881,5,4,South Roberthaven,49,519281
3681,3,1,Adamsport,48,587094
4793,3,3,South Ashleyside,28,677097
4093,3,4,Elliottton,31,823021
3346,1,1,New Leeland,51,462483
4715,2,3,New Christinabury,94,821480
4233,4,4,East Nicholas,67,609113
2158,1,3,Karentown,27,677571
4717,1,1,Dodsonberg,6,160725
4263,1,3,New Melanie,82,320404
4852,2,3,Lake Sarah,16,616811
4840,4,2,Lake Allenmouth,51,823332
1176,1,3,Clarkmouth,95,139875
2357,3,3,New Danieltown,79,413434
4226,1,2,South Jeffreyview,92,534060
4018,2,4,North Tammy,52,932150
2447,4,4,Mendezland,54,479352
2433,4,4,Lake Kevinside,77,518898
3721,5,1,Nguyenland,33,165508
624,3,4,South Tracey,68,340955
4565,5,4,Harrisfurt,51,270425
2777,3,1,South Scott,20,114370
4044,4,1,North Joseph,73,266445
2136,5,4,Sarahhaven,26,126367
2762,1,1,North Michaelburgh,34,375870
4960,3,2,West Samanthamouth,80,68822
3263,5,4,South Joeton,48,770462
2738,2,3,North Carlborough,45,707290
2746,3,2,Derekton,87,993314
4308,5,1,Andersonborough,86,875116
1776,1,4,Pamstad,54,283346
1593,1,1,Melissafort,9,57782
1627,2,2,Malonemouth,77,617109
3768,5,4,Robertfort,59,387838
2781,4,4,Lake Janetport,42,985667
1479,5,4,Lake Ian,82,485053
596,4,4,Deanport,98,780586
2026,3,4,Atkinsonburgh,16,180325
1750,4,2,Johnmouth,0,202219
3269,3,1,Jeffreyside,9,257603
1067,4,4,Lake Theresaton,32,862921
3886,1,2,Michelleton,9,233110
1078,1,1,Richardton,75,467916
4116,3,4,Ballshire,91,291473
1886,4,1,South Marcus,85,237895
1266,5,4,North Hannahfurt,21,729774
4595,5,4,North Derrick,9,282507
1740,5,4,New Rebeccaville,39,177574
2823,5,1,Christinatown,97,531015
4142,1,4,Port Lisa,62,969413
725,5,3,Hernandezstad,5,390375
3753,3,3,Jasonton,60,860989
3359,5,4,Teresaburgh,92,471096
4547,1,3,East Larry,45,859243
4994,1,3,Williamsbury,68,879936
2104,1,3,South Brandyland,14,517793
4678,2,3,Lake Tanyashire,11,980642
4380,1,2,Ramirezburgh,67,798396
662,1,4,East Dorothyside,21,999354
1693,1,3,Anthonymouth,92,662906
3019,4,4,Alexstad,70,713072
512,3,4,Ingramhaven,9,991038
4318,5,4,Turnerfurt,93,246324
780,1,2,Boltonland,10,836470
2457,5,2,Lake Samantha,89,502307
2054,5,3,New John,10,486508
3163,3,1,Cardenasstad,2,292741
1129,1,4,Karenfort,77,970541
3468,1,4,Markborough,98,200477
1218,4,1,Lake John,84,356628
4265,4,4,Port Annashire,49,451945
3956,4,3,Clarkburgh,95,956526
735,5,3,Lake Benjamin,57,306922
3068,1,4,North Markbury,39,331539
675,4,2,Valentinehaven,11,186770
3196,2,2,Garciaport,75,370378
4395,2,4,Millershire,89,380392
4122,3,1,New Carolburgh,91,763764
3990,2,2,New Lucasborough,8,738518
584,5,4,Leahhaven,85,67875
3075,1,4,East Julie,86,677471
3941,3,3,North James,96,58114
1420,4,4,Lake Kennethhaven,93,742336
1915,4,2,Baileyview,100,62353
3600,5,2,North Shawnville,68,275449
